short_desc,severity
tabbedproperties advancedpropertysection always shows horizontal scrollbar,normal
dvttct el cdt toc navigation link differs topic title target page,trivial
startup editorregistry eagerly sorted without opening editors,normal
creating new working set searching typing name slow,minor
webkit fix casting compilation warnings,normal
contributions popupmenus extension point doc unclear,normal
gtk launcher,major
missing description preference pages,trivial
eclipse launch jdk vs jdk,normal
javadoc formatter doubles value tag,normal
properties view inconsistent use triangle menu gkdje,normal
multiple identities dont switch local folders,critical
regression workbench starts istartup plugins fully initialized,critical
internal editor os editor use namspace,minor
keyboard shortcut context menu created mouse cursor rather focus,trivial
resourceexception marker id found,minor
gtk themed checkbox ignores set background color mouseover,normal
import preferences page complain missing files import,normal
progress tvttct da us date displayed error msg,normal
cdtproject file created simple project java project,critical
login failures cause sync error log appear,normal
index bounds panefoldercreateitem,normal
decorators decorator update pegs cpu opening create file dialog,major
block indenting indent tab,minor
jar exporter remove destination file attribute jardesc configuration saved,minor
organize import generates syntactically incorrect static import,trivial
ide deleteprojectdialog inconsequent selection behavior,trivial
thunderbird crashed autoforward filter encounter nonencoded chinese email subject msgpickrealname,critical
perspectives ratio attribute perspectiveextension extension broken,major
quick access category prefix breaks acronym matches,minor
endless loop advancedquickassistprocessorgetconvertifelsetoswitchproposals,critical
welcome welcome views accumulate status bar,minor
eclipse cygwin complains error multiple target patterns using eclipse cdt package,blocker
unexpected exception uspdll,blocker
tab order new variable dialog include folder button gkk,normal
incomplete execution,major
javadoc unresolved reference constructor,minor
xss thunderbird,critical
extract superclass introduces stack overflow,major
account manager must allow multiple email addresses per user id,major
rename parameter leave existing parameter names editing gfsde,critical
default parameters ssh parameters wrong way around,minor
markers custom problem view filter labels lost,normal
search help combo tooltip,trivial
pin editor button initially enabled specific conditions,minor
npe orgeclipseuiinternalidecontenttypedecorator,trivial
npe rename type tests,critical
keybindings keybindings dialog copy command probably duplicate command,trivial
icons jar icon inconsistencies,trivial
nonnls broken move static,minor
graphics issues wizard banner list item icons,minor
resourceexception javamodelexception packages geoe,critical
default new junit test junit x,trivial
option limit opentype working set,normal
compiler npe compiling type containing ondemand import declaration,normal
bootpath incorrect project specified,normal
create new mail message,critical
headers like shown instead stacked hidden,critical
assist code assist doesnt offer correct choices iteratornext,normal
compare preferences page ui,minor
empty rdf character encoding outgoing mail,major
inline method arrayindexoutofboundsexception refactoring,major
eclipse crashed appearance pref page,major
hang restarting computer gone standby mode sometimes see connect host contacted sending login information,critical
win failure ideprecatedworkbenchpagetest testopeneditor,normal
iastpreprocessorstatement contained inactive code block claims active,minor
thunderbird start,critical
need clarification usage ielementprovider interfaces update arrays,minor
message launch config dialog,critical
wizards bad example javadoc basicnewfolderresource,trivial
compiler bad error message abstract enum,normal
tips tips dialog startup options use checkboxes,minor
crash shutdownhang msgwaitformultipleobjectsex cclimodalloopblockfn via drag service win,critical
minor javadoc updates synchronizationscopemanager isubscriberchangeevent,trivial
formatting formatting selection corrupts editor,major
two debugger tabs debug configurations,trivial
recompilation project requires code change force previously disconnected jar libraries network added,trivial
cant quit must use force quit altcmdesc click force quit,major
help f help inaccurate feature plugin details,normal
excel orgeclipseuipartinitexception invalid input,major
appserveradd orgeclipsehelp block tomcat fully initialized,major
nullpointerexception jdt core,normal
preferences uneven spacing editors preference page,trivial
problem categories tuning,normal
possible create two packages different case two source folders,minor
cocoa display loop nonmain thread freezes,normal
reverse uncall work breakpoint present,major
commonnavigator documentation missing configure linkhelper,normal
css summary bug cascading rule tests ctabfolder properties,normal
add constructors incorrect wording,minor
searchdoc java search tab documentation confusing qualified name,trivial
right click breakpoint goto file work two identical projects,normal
frequent jvm crashes orgeclipseswtinternalgtkosgtkprogressbarsetfraction,critical
ltkrefactoring orgeclipseltkcorerefactoringparticipantsiparticipantdesciptorfilter spelling error,normal
clicking listreply fails tempidemail null,major
unable control level javadoc errors,normal
visible window,major
dialog remains top cannot closed,blocker
propertiesview propertysheetviewer removed enum warning,trivial
crash compose window open input account using global inbox,critical
link folder delete incomplete,major
adding one toolchain filter mbs custom pages fails,critical
content assist pressing exit autocompletion,minor
command work trees,major
signaturegetsignaturesimplename returns different results resolved unresolved extends,normal
anonymous file change nowhere,minor
eclipse crashes enter subversion url,critical
declaration view show key binding copy select context menu,minor
context menu entries creating new sourceheader files missing projectexplorer,minor
completion regression already broken test completionwithmissingtypesteststest,normal
commonnavigator warning latest nightly build integration build,normal
project paths ui exclusion pattern dialog shows java example,minor
eclipse sometimes hangs creating new directory new java class file,major
navigation next previous subword jumping misses subword startends,normal
